Timestamp,Transcript
[00:00:15]:,"""I'm going to read the propmt note first"""
[00:01:02]:,"""Let's start with disease first"""
[00:01:04]:,"Searching for ""Disease"""
[00:01:04]:,User changed the topic: (Looking for evidence of disease in different places) [bottom-up]
[00:01:10]:,"""I din't get anything. so I try Nigeria"""
[00:01:14]:,"Searching for ""Nigeria"""
[00:01:18]:,Picking a document from last search
[00:01:25]:,Picking a document from last search
[00:01:28]:,Picking a document from last search
[00:01:41]:,reading the first document
[00:02:09]:,"""It's a lot of text and I don't know to go with it or not"""
[00:02:13]:,Picking a document from last search
[00:02:16]:,Picking a document from last search
[00:02:19]:,Picking a document from last search
[00:02:23]:,Picking a document from last search
[00:02:27]:,Still reading the last document
[00:02:41]:,"""Kenya is the next country"""
[00:02:46]:,"Searching for ""Kenya"""
[00:02:50]:,"Searching for ""Nigeria"""
[00:02:55]:,"""Dates are proobably good idea"""
[00:03:08]:,"Searching for ""Kenya"""
[00:03:20]:,Looking through titles and dates
[00:03:22]:,Picking a document on Jan 2009 from last search
[00:03:39]:,"""Maybe this name helps"""
[00:03:42]:,"Searching for ""Onyango"""
[00:03:46]:,Picking a document from last search
[00:04:13]:,Still reading the document
[00:04:19]:,"""Could be usefull later"""
[00:04:29]:,"Searching for ""Nigeria"""
[00:04:37]:,Picking a Oct 2008 document from last search
[00:04:54]:,"""There are money transactions here what's the link to the disease though"""
[00:04:37]:,User changed the topic: (Connecting money and disease) [bottom-up]
[00:05:23]:,Picking a document from last search
[00:05:35]:,Picking a document from last search
[00:05:41]:,Picking a document from last search
[00:05:53]:,Picking a document from last search
[00:05:55]:,"""all these email are from same person. I see Nigeria. bank"""
[00:06:44]:,"Searching for ""Disease"""
[00:07:33]:,User changed the topic: (Looking for Kenya related stories) [bottom-up]
[00:07:07]:,"""I'm looking through topics t osee if any keywords may catch my eyes"""
[00:07:27]:,Reading the prompt again
[00:07:33]:,"Searching for ""Kenya"""
[00:07:43]:,Picking a document from last search
[00:08:17]:,Picking a document from last search
[00:08:20]:,"""I've seen this name before. could be related to the disease"""
[00:08:36]:,"Searching for ""Otieno"""
[00:08:39]:,Picking a document from last search
[00:09:04]:,"Searching for ""Hospital"""
[00:09:27]:,Still reading the document
[00:09:30]:,"""Not very helpfull"""
[00:09:44]:,Making connection between two documents
[00:10:07]:,Still reading the linked documents
[00:10:22]:,Reaing prompt again
[00:10:41]:,User changed the topic: (Looking for events in Syria) [bottom-up]
[00:10:41]:,"Searching for ""Syria"""
[00:10:57]:,Picking a document about textbooks from last search
[00:11:14]:,Picking a document from last search
[00:11:37]:,Making connection between two textbook documents
[00:11:55]:,Making connection between two Nigeria documents
[00:12:29]:,Picking a document from last search
[00:12:41]:,Picking a document from last search
[00:12:56]:,Picking a document from last search
[00:12:56]:,"""It's some thing between Syria and Turkey"""
[00:13:09]:,Picking a document
[00:13:16]:,User changed the topic: (Looking for events in Moscow)[bottom-up]
[00:13:16]:,"Searching for ""Moscow"""
[00:13:27]:,Picking a document from last search
[00:13:37]:,"""Dombrovski seems a problem"""
[00:13:39]:,Picking a document from last search
[00:14:32]:,"""It looks like a threat"""
[00:14:35]:,Picking a document from last search
[00:15:04]:,"Searching for ""jewels"""
[00:15:11]:,Picking a document from last search
[00:15:23]:,"""It says somebody kidnaped"""
[00:15:39]:,Picking a document from Moscow
