Timestamp,Transcript
[00:00:16]:,User starts with reading the prompt note
[00:00:30]:,"""I'm going to figure out how I narrow this down alittle bit"""
[00:00:44]:,"Searching for ""Location"""
[00:00:42]:,User changed the topic: (Looking for terrorist activities) [bottom-up]
[00:00:49]:,"""I'm searching for the Where, cause Where is usually pretty specific"""
[00:00:49]:,"Picking a document in title ""May 2011, Overseas Terror Group Threatens Press"""
[00:01:08]:,"""It tells me something about using location, but I don't see any actual location in there, that's not going to be helpfull"""
[00:01:33]:,"Picking a document in title ""July 2010, Capital Gains: Lift the Burden"""
[00:01:48]:,"""These two ones are completely unrelated to terroris activities, lets just search for terrorist activity"""
[00:01:58]:,"Searching for ""Terror"""
[00:02:04]:,"Picking a document in title ""May 2011, Overseas Terror Group Threatens Press"""
[00:02:11]:,"Picking a document in title ""May 2011, DHS Foils Plot"""
[00:02:16]:,"""Oh here is a derty bomb, that sound like terrorism to me, It say's target could be Washington"""
[00:02:45]:,"Highlighting ""Washington"""
[00:03:00]:,"Highlighting ""Bruno Eggleston"""
[00:03:21]:,"Highlighting ""May 2011"""
[00:03:40]:,"Highlighting ""dirty bomb"""
[00:03:51]:,"""They mentioned about Network of dread, It saw that in the first article, Maybe I could figure out what their purpuse is later,"""
[00:04:00]:,"Highlighting ""Network of Dread"""
[00:04:35]:,"""This one is done, let's keep looking,"""
[00:04:43]:,"Picking a document in title ""March 2011, Officials Confident of Security"""
[00:04:55]:,"""This one seems more about something critical about security, not related to threads"""
[00:05:03]:,"Picking a document in title ""March 2011, Peter Will Move US Troops In Middle East to Secure Areas"""
[00:05:00]:,User changed the topic: (Looking for overseas terrorist threats) [bottom-up]
[00:05:21]:,"""This one is about troops move in response to thread of terrorist attack, that's another good lead"""
[00:05:28]:,"Highlighting ""March 29, 2011"""
[00:05:44]:,"""Sounds there was an attack that happend already, so they're worried about another attack,"""
[00:06:12]:,"Highlighting ""Saudi Arabia"""
[00:06:34]:,"""Let's see who is in charge of this thread"""
[00:06:46]:,"Highlighting ""Dhahran"""
[00:07:02]:,"""I see a bomb they used there"""
[00:07:08]:,"Highlighting ""3000 and 5000 pounds"""
[00:07:30]:,"Highlighting ""Kuwait, Qatar, Bahrain"""
[00:08:05]:,Making connection between two documents
[00:08:15]:,User changed the topic: (Looking for Vastopolis related terrorist activities) [bottom-up]
[00:08:17]:,"Picking a document in title ""May 2011, The Gag Rule Party"""
[00:08:26]:,"Picking a document in title ""May 2011, City Threat Level Increased"""
[00:08:37]:,"""It sounds something important,"""
[00:08:38]:,"Highlighting ""May 10, 2011"""
[00:08:45]:,"Highlighting ""Vastopolis"""
[00:08:54]:,"Highlighting ""around the country"""
[00:09:19]:,"""It's kind of incomplete article"""
[00:09:35]:,Looking at old documents
[00:09:53]:,"""The first article I read has an incident happened in the same month as this one, so I think they're sort of related"""
[00:10:47]:,Making connection between two documents
[00:10:58]:,"Picking a document in title ""May 2011, Alleged Trade Center Bomber Convicted of Plotting Air"""
[00:11:21]:,"""It mainly talking about something that happend in the past, seems unlikely relevant"""
[00:11:30]:,User changed the topic: (Looking for biological threats and attacks) [bottom-up]
[00:11:31]:,"Picking a document in title ""May 2011, Suspects Apprehended """
[00:11:55]:,"""That's interesting, I've already encountered Network of dread, now we've Paramurderers of Chaos"""
[00:12:16]:,Still reading the document
[00:12:45]:,"Highlighting ""laboratory in the basement"""
[00:12:56]:,"Highlighting ""Petri dishes"""
