Timestamp,Transcript
[00:00:09]:,User starts the study with reading the prompt note
[00:00:51]:,"Highlighting ""Terrorist Activities and group"""
[00:00:56]:,"Searching for ""Terrorist Activity"""
[00:00:49]:,User changed the topic: (Looking for Terrorist Activities and threats ) [bottom-up]
[00:00:59]:,"""No results"""
[00:01:04]:,"Searching for ""Terrorist"""
[00:01:15]:,"Picking a document in title ""May 2011, City Threat Level Increased"""
[00:01:41]:,Still reading the document
[00:02:07]:,Still reading the document
[00:02:15]:,"""I don't see much information here from terrorist themself, rather just there's a feeling of being a threat"""
[00:02:21]:,"Highlighting ""May 10, 2011"""
[00:02:27]:,"Searching for ""May 10, 2011"""
[00:02:32]:,Looking through titles
[00:02:47]:,"Picking a document in title ""May 2011, Circon Corp, Attempts to Block Takeover With Worker Benefits"""
[00:02:55]:,"""It looks like a dead end, lets see what else we can search"""
[00:03:09]:,"Searching for ""Threat"""
[00:03:24]:,"Picking a document in title ""May 2011, Overseas Terror Group Threatens Press"""
[00:03:39]:,"Highlighting ""Network of Dread"""
[00:04:10]:,"""So, there's a who here but nothing about where, let's search it"""
[00:04:14]:,"Searching for ""Network of Dread"""
[00:04:32]:,"Picking a document in title ""May 2011, DHS Foils Plot """
[00:05:00]:,Still reading the document
[00:05:22]:,Still reading the document
[00:05:38]:,Making connection between two documents about threats
[00:05:37]:,"""I've connect them beause it talks abouit Network of Dread again"""
[00:05:50]:,"Highlighting ""Washington"""
[00:05:52]:,"Searching for ""Washington"""
[00:06:14]:,"Picking a document in title ""April 2011, Saudi Group Claims 6 Militants Confessed to US Base Bombing"""
[00:06:38]:,"""Looks unrelated series of events"""
[00:07:04]:,"Highlighting ""Vastopolis"""
[00:07:28]:,"Searching for ""Vastpress"""
[00:07:35]:,Looking through titles
[00:07:59]:,"""It didn't lead any clear results"""
[00:08:02]:,"Searching for ""May, 21"""
[00:08:49]:,"Picking a document in title ""May 2011, Suspicious Turkey Found with Man at Airport"""
[00:09:19]:,Still reading the document
[00:09:25]:,"Highlighting ""bomb"""
[00:09:23]:,User changed the topic: (Looking for Bombing and bomb makers) [bottom-up]
[00:09:45]:,"Searching for ""Bomb"""
[00:10:03]:,"Picking a document in title ""May 2011, Bomb Makers Apprehended"""
[00:10:24]:,"""There is a different group here"""
[00:10:24]:,"Highlighting ""Psychobrotherhood"""
[00:10:34]:,"Highlighting ""Vastopolis"""
[00:10:58]:,"Searching for ""Psychobrotherhood"""
[00:11:04]:,"""It's odd, If find the bomb makers, It might see where the bombs are coming from"""
[00:11:20]:,"Look back are the document in title "" May 2011, DHS Foils Plot """
[00:11:28]:,"Highlighting ""Network of Dread"""
[00:11:34]:,"Searching for ""Network of Dread"""
[00:11:41]:,"""Nothing more, just thoese two"""
[00:11:53]:,"Searching for ""Bomb"""
[00:12:02]:,"Picking a document in title ""May 2011, Explosives Traces Are Said To Be Found in Antarctica Airlines"""
[00:12:20]:,Still reading the document
[00:12:40]:,Still reading the document
[00:12:50]:,"Writing a new note, Note 1: ""A Potential bomb"""
[00:13:07]:,Making connection between the last document and Note 1
[00:13:30]:,"Picking a document in title ""April 2011, Bomb Blast Kills Nine """
[00:13:56]:,Still reading the document
[00:14:09]:,"""Clearly the airport is """
