Timestamp,Transcript
[00:00:16]:,User starts with reading the prompt note
[00:00:51]:,"Writing a new note, Note 1: ""Text Note: -Headline - Date of publication - Content of article"""
[00:00:48]:,User changed the topic: (Trying to organize tasks listed in prompt note) [bottom-up]
[00:01:03]:,"""I'm making some notes and writing each attribute that each note has"""
[00:02:11]:,"""I'm move my first note in the middle of screen to review my task during the work"""
[00:02:19]:,"Writing a new note, Note 2: ""Premise: -Where: Vastopolis metro -Issue: Imminent terrorist threats"""
[00:02:28]:,"""Now I'm writing a highlevel description of promises"""
[00:03:23]:,"Writing a new note, Note 3: ""Who:"""
[00:03:30]:,"""I'm categorizing my notes and also parts that important to me"""
[00:03:59]:,"Picking a document in title ""April 2011, Doster Are Ousted At Connecticut Tennis Event"""
[00:04:23]:,Still reading the document
[00:04:41]:,Still reading the document
[00:04:57]:,"Searching for ""Tennis"""
[00:05:10]:,"""I want to see if there's any related activities related to Tennis, cause it could be ralated to something else"""
[00:05:22]:,"Picking a document in title ""May 2011, Open tennis championships Selecting a Tennis Racket Can Be a Game of Inches"""
[00:05:53]:,Still reading the document
[00:06:23]:,Still reading the document
[00:07:31]:,Making connection between two Tennis documents
[00:08:31]:,Still reading the document
[00:09:16]:,Still reading the document
[00:09:44]:,"Writing a new note, Note 4: ""Misc:"""
[00:09:52]:,"""I'm not sure if it's related or not, I'm going to name this catagory misclaniuos"""
[00:10:14]:,"Writing a new note, Note 5: ""What"""
[00:10:40]:,"Writing a new note, Note 6: ""Where"""
[00:10:48]:,"Writing a new note, Note 7: ""When"""
[00:11:01]:,"Writing a new note, Note 8: ""How"""
[00:11:16]:,"Picking a document in title ""May 2011, Suspicious Turkey Found with Man at Airport"""
[00:11:13]:,User changed the topic: (Trying to find events related to Airports) [bottom-up]
[00:11:56]:,"Highlighting ""security personnel to detain a man carrying a frozen turkey"""
[00:12:05]:,"Highlighting ""this turkey (not the man) had wires coming out of it"""
[00:12:46]:,"Highlighting ""The man carrying the turkey was on his way to the west coast"""
[00:13:07]:,"""This curret article has some suspicious activities, So I'm searching to see if there is anything similar to it or at least close to it"""
[00:13:38]:,"Searching for ""Turkey"""
[00:13:44]:,"Searching for ""West coast"""
[00:14:11]:,"""So some article came up about Saudi Arabia running low in energy, which I'll review shortly"""
[00:14:19]:,"Searching for ""Airport"""
[00:15:01]:,"""I'm trying to sort these and create a timeline of events"""
[00:15:40]:,"Arranging results from ""Airport"" search term"
[00:16:01]:,"Picking a document in title ""March 2011, Officials Confident of Security """
[00:16:25]:,"Highlighting ""The threat of terrorism had lingered in the background"""
[00:16:44]:,"Highlighting ""following the crash of a Antarctica Airlines jet"""
[00:17:05]:,"Highlighting ""Donella Wong, executive produce"""
[00:18:27]:,Highlighting a paragraph about terrorist activities
[00:19:11]:,Highlighting a paragraph about security measures
[00:19:34]:,User puts the documents aside
[00:19:44]:,"Picking a document in title ""May 2011, Energy-Rich Saudi Arabia Is Running Low on Electricity"""
[00:20:09]:,"Picking a document in title ""May 2011, Corrections & Amplifications"""
