Timestamp,Transcript
[00:00:10]:,User starts the study with reading the prompt note
[00:00:43]:,"Searching for ""January. 2014"""
[00:01:09]:,"Searching for ""Jan 2014"""
[00:04:01]:,User changed the topic: (Trying to find the root of the events) [bottom-up]
[00:01:19]:,Looking through articles titles
[00:02:07]:,"Picking an article in title ""Jan 2014. Employees of GASTech removed in Kronos """
[00:03:01]:,Still reading the last article
[00:03:26]:,"""It's about removing of the employees. POK was requesting $20M from the company. It may be additional request from them which is not specified yet"""
[00:04:04]:,Still reading the last article
[00:04:39]:,"Highlighting ""The local organizations of news received a note of ransom of the claiming responsibility and to require POK $20 million the company"""
[00:04:54]:,"Searching for ""Tethan"""
[00:05:13]:,"""I'm looking for Tethan which is the minesty helping them up with the search """
[00:05:39]:,"Picking an article in title ""Jan 2014. GASTech Employees Kidnapped in Kronos"""
[00:06:05]:,"Highlighting ""the personnel of the ministry of Tethan of the Foreign Affairs arrived in Kronos to help the police force in research"""
[00:06:07]:,User changed the topic: (Learning about the events leading to kidnapping) [bottom-up]
[00:06:09]:,"Picking an article in title ""Jan 2014. Employees of GASTech removed in Kronos"""
[00:06:32]:,"Highlighting "" 21 January 2014"""
[00:07:11]:,Still reading the last article
[00:07:22]:,"Highlighting "" A fire alarm went off and the execs were discovered missing shortly after that"""
[00:08:06]:,"""So the fire alarm went off. let see if I can find any information regarding the fire alarm and the time that happend"""
[00:08:39]:,"Searching for ""fire alarm"""
[00:08:44]:,Looking through articles titles
[00:09:30]:,"Picking an article in title ""Jan 2014. Breaking: Emergency at GAStech Headquarters Building"""
[00:09:49]:,"""10:50am. So it happend in the morning"""
[00:09:55]:,"Highlighting ""10:50 AM"""
[00:10:08]:,"Highlighting ""Bomb threat"""
[00:10:24]:,"""Now I want to see if I can find anything regarding bomb threats"""
[00:10:33]:,"Searching for ""Bomb threat"""
[00:10:43]:,"Picking an article in title ""Jan 2014. Homeland Illumination"""
[00:11:50]:,"""Bomb threat happend in the day before and in the different place"""
[00:12:06]:,"Highlighting ""people Maha Salo 20 January 2014"""
[00:12:35]:,"Highlighting ""bomb threat. 20 Jan 2014"""
[00:12:40]:,"""So. people of maha salo"""
[00:12:50]:,"Searching for ""Maha Salo"""
[00:12:59]:,Looking through articles titles
[00:13:43]:,"Picking an article in title ""Jan 2014. Blog notes: Homeland Illumination"""
[00:14:25]:,User is comparing the article with previous highlights
[00:14:51]:,"""It was reported on Jan 21 but the kidnaping actually happend in 20th"""
[00:15:31]:,"Highlighting ""someone should locate the caterers from the executive breakfast?"""
[00:15:34]:,"Highlighting ""newfound wealth might provide a motive"""
[00:15:53]:,"Searching for ""carterers"""
[00:15:53]:,User changed the topic: (Looking for carterers in the day of kidnaping) [bottom-up]
[00:16:04]:,"""I'm looking for these carterers at the executive breakfast. cause they might actualy seen if anybody interacted with the executive when the fire alarm took place"""
[00:16:31]:,"Searching for ""executive breakfast"""
[00:16:42]:,"Searching for ""Carterer"""
[00:16:53]:,"Picking an article in title ""Jan 2014. Blog posts: The Abila Post"""
[00:17:30]:,"Highlighting ""20 Jan 2014"""
[00:18:12]:,Still reading the last article
[00:18:41]:,"Highlighting ""the caterers for the breakfast meeting who were dressed all in black have been released"""
[00:19:21]:,Making connection between two articles about the kidnaping day
[00:19:36]:,"""I know what happend in 20th. was reported in 21st. they are asking $20M for release"""
[00:19:52]:,"Making connection between ""Jan 2014 GASTech Employees Kidnapped in Kronos"" and the kidnaping group"
[00:20:11]:,"Searching for ""black"""
[00:20:20]:,Looking through articles titles
[00:20:20]:,"""I'm finding any information about any organization that were black"""
[00:20:58]:,"Picking an article in title ""Jan 2014. Blog notes: Centrum Sentinel """
[00:22:13]:,"Searching for ""entrargli"""
[00:22:43]:,"Searching for ""government sedan"""
[00:22:50]:,"Searching for ""government"""
[00:22:54]:,"""I'm trying to figure out what the government was doing at the company on the 20th day and they were transported entrargli. but there no information about entrargli in these articles. so I'm looking for what the government is upto with the company"""
[00:23:22]:,User changed the topic: (Looking for government and peopels role in the company) [bottom-up]
[00:23:30]:,Looking through articles titles
[00:24:23]:,Still looking through articles titles
[00:24:45]:,"Picking an article in title "" Jan 2014. REMOVAL AT GASTECH KRONOS"""
[00:24:57]:,"Highlighting ""A black government sedan has arrived hardly to the centers of GAStech"""
[00:25:09]:,"Highlighting ""he transports entrargli"""
[00:25:35]:,Still reading the last article
[00:27:28]:,"Highlighting ""Edvard Vann. GAStech - Kronos the security guard which was questioned and after 6 hours was delivered. the daders behind the events of today indicated became suspicious on the guards of Kronos such as are"""
[00:28:18]:,"""They're suspicious for the gards on that event. they heard of a gun fire and they're taking it into a consideration"""
[00:29:20]:,"Highlighting ""The affirmative reports of a fire on the office are possible as a diversion for the ontvoerders have served or to misfiring during the event have at least contributed"""
[00:29:56]:,"Picking an article in title ""Jan 2014. Breaking: Emergency at GAStech Headquarters Building"""
[00:30:05]:,"""10:50am it says was the fire alarm time but the fire department where sent around 10am. that means in happend before?"""
[00:30:28]:,"Highlighting ""Kronos were sent around 10:00 this morning local time Kronos to answer to a fire alarm"""
[00:30:58]:,"""Let's see if we have any information aobut the gards"""
[00:31:05]:,"Picking an article in title ""Jan 2014. REMOVAL AT GASTECH KRONOS"""
[00:31:15]:,"Searching for ""Edward"""
[00:31:23]:,User changed the topic: (Who is Edward Vann?) [bottom-up]
[00:31:25]:,Looking through articles titles
[00:31:42]:,"""Edward Vann is the one who was suspicious of the gards. so that's why I'm looking for information about it"""
[00:32:16]:,"Picking an article in title "" Jan 2014. WRAP UP OF EVENTS AT GASTECH"""
[00:33:17]:,Still reading the last article
