Timestamp,Transcript
[00:00:16]:,User starts the study with reading the prompt note
[00:01:27]:,"Highlighting ""stewardship"""
[00:03:17]:,"""I see two problems to solve. one is finding about the history of this POK organization. and I want to look for why the disapearance happend"""
[00:03:51]:,"Searching for ""POK"""
[00:03:51]:,User changed the topic: (Looking for POK's activities on enviromental issues) [bottom-up]
[00:03:53]:,Looking through titles
[00:04:19]:,User picking oldest documents
[00:04:40]:,"Picking a document in title ""Aug 1998. OLD WOMEN MATRICES OF GIRL Of ELODIS OF POISONING"""
[00:05:03]:,Still reading the document
[00:05:18]:,"Highlighting ""benzene poisoning"""
[00:05:46]:,Still reading the document
[00:06:48]:,Still reading the document
[00:06:52]:,"Picking a document in title ""Nov 1998. POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH"""
[00:07:45]:,Still reading the document
[00:08:08]:,Still reading the document
[00:08:56]:,"Picking a document in title "" Nov 1999. Overall the benevolence trunks of the calamity"""
[00:09:02]:,Reading the prompt again
[00:09:09]:,"""I know the POK is formed 1997 and in 1998 someone died because of poisoning related to Gastech"""
[00:10:01]:,Looking through titles for articles about origin of POK
[00:10:44]:,"Picking a document in title "" Feb 2009. The protest of POK at GAStech sits of the ends in the arrests"""
[00:11:17]:,"Picking a document in title ""Sep.t 2005. RETURN OF THE PROTESTS OF ELODIS TO THE UPROARS AND THE HALTINGS"""
[00:11:31]:,"Making connection between last document and ""Sep.t 2005. RETURN OF THE PROTESTS OF ELODIS TO THE UPROARS AND THE HALTINGS"""
[00:12:12]:,Still reading the last article
[00:12:34]:,"""1998 they are talking about water contamination and in 2005 they started to prottest. now I'm looking to see what happend in time in between"""
[00:13:18]:,"Picking a document in title ""May 2000. ELODIS PUBLIC HEALTH FACT SHEET"""
[00:14:14]:,"Highlighting ""Unprecedented levels of toxins were found in the water supply. including phenol. acetic anhydride. lead. and ethylene glycol. The incidence of chronic illness increased over 89% from prior years The unusually high incidence of cancer became so concerning that Minister of Health Nespola appointed an oncology specialist to Abila General Hospital"""
[00:14:45]:,"Picking a document in title ""Aug 2000. TISKELE THE EXPLOSION AND THE FIRE OF THE BEND"""
[00:15:26]:,Making connection between two docuiments about poisoning
[00:15:37]:,"""These two document are both about people died of poisoning"""
[00:15:41]:,"""And here this document is about enviroment and increase in diseases"""
[00:16:12]:,Making connection between two documents about poisoning and health care
[00:16:51]:,"Picking a document in title "" May 2003. THE COO OF DIES IN 73"""
[00:17:41]:,"Picking a document in title ""May 2009. GASTECH ADOPTS NEW STANDARD"""
[00:18:28]:,Looking through titles
[00:18:55]:,"Picking a document in title "" Oct 1995. MAGNIFICENT OPENING GASTECH-KRONOS"""
[00:19:46]:,Looking through titles for new articles
[00:20:08]:,"Picking a document in title "" March 2009. POK RALLY DRAWS THOUSANDS OF SUPPORTERS"""
[00:20:15]:,"""POK does a lot of protesting in 2009. but what happpend between 2005 to 2009"""
[00:20:26]:,"Picking a document in title "" June 2009. Protest Turns Violent in Abila"""
[00:20:27]:,User changed the topic: (Looking for POK's rallies and riots) [bottom-up]
[00:20:28]:,"Picking a document in title ""March 2009. POK RALLY DRAWS THOUSANDS OF SUPPORTERS"""
[00:21:20]:,Still reading the document
[00:22:05]:,Still reading the document
[00:22:30]:,"""So in 2009 they are protesting for the old woman who died in 1998. and they are looking for the truth"""
[00:23:17]:,Still reading the document
[00:24:22]:,"""Interesting. in 2009 the POK has changed from enviroment protection group to a new group working against government policies. So now they're not working against the foreign company. they're working against governmet"""
[00:24:57]:,"Highlighting ""government transparency and accountability"""
[00:25:12]:,"Picking a document in title "" March 2009. POK RALLY DRAWS THOUSANDS OF SUPPORTERS """
[00:25:23]:,"Highlighting ""Protest leader Elian Karel addressed the demonstrators at Abila City park. Karel took over POK leadership from Henk Bodrogi. whose ill health forced him down from the position. Karel spoke eloquently about the beginnings of the POK campaign as a grassroots effort for clean water. to the dynamic movement it has become demanding improved government transparency and accountability"""
[00:25:35]:,Looking through titles for a new article
[00:26:41]:,"Picking a document in title ""Jun 2011. POK Protesters Vandalize Siopa District"""
[00:27:25]:,"Picking a document in title ""Jun 2010. IN THE MEMORY: The DEATH Of ELIAN KAREL"""
[00:28:03]:,Looking through titles for a new article
[00:28:38]:,"Picking a document in title ""Jun 2012. POK REMIND LEADER MARTYRED"""
[00:28:48]:,"""I'm just looking at titles"""
[00:29:31]:,Reading the prompt note again
[00:29:46]:,"Searching for ""GAStech"""
[00:29:46]:,User changed the topic: (Looking for incidents ) [bottom-up]
[00:30:14]:,"Picking a document in title ""Jan 2014. MEETING WHO IS PLACED FOR THE MORNING OF MORNING"""
[00:31:18]:,Still reading the document
[00:31:23]:,"Picking a document in title "" Jan 2014. To break off itself: The emergency to GAStech quarters the construction"""
[00:32:52]:,Still reading the document
[00:33:23]:,"Writing a new note. Note 1: ""President Stewn Sanjorge Jr. - CFO Ingrid Barranco - Campo-Corrente of ADA of CIO"""
[00:34:16]:,reviewing the prompt note
[00:34:34]:,User changed the topic: (Looking for events in kidnapping day) [bottom-up]
[00:34:35]:,"Picking a document in title ""Jan 2014. Employees of GASTech removed in Kronos"""
[00:34:53]:,"""I'm looking this one. about removing employees"""
[00:35:45]:,"Highlighting "" Fourteen employees have fears removed in Kronos by a radical environmental group of terrorist during a meeting of corporation"""
[00:37:01]:,"Add more texts to Note 1: ""Enviromental leader Willem Vasco-feed"""
[00:37:24]:,Still reading the document
[00:38:39]:,Still reading the document
[00:39:16]:,Still reading the document
[00:39:22]:,"""The CEO is kidnaped here. I see two possibility. one is that they're kidnaped for real or maybe they're not kidnaped"""
[00:40:33]:,"Adding more text to the Note 1: ""John Rathburn, an American expert in executive kidnapping who lives in Tethys, known as that Kronos was not known like archatypal country for removal """
[00:42:03]:,Looking through titles to find a new article
[00:42:11]:,"Picking a document in title ""Jan 2014. To break off itself: The emergency to GAStech quarters"""
